detector,voc_size,mean_error,std_error
SIFT,10,0.2214948407001387,0.02072534275813291
SIFT,25,0.2170798296626111,0.017864993266641847
SIFT,50,0.21294783215313015,0.03278060640368722
SIFT,100,0.19087829021603855,0.015810672188336747
ORB,10,0.29478542061323515,0.041404975049703696
ORB,25,0.2338353331730815,0.035267803535575626
ORB,50,0.2430648821377298,0.04346061590310395
ORB,100,0.2167413160790644,0.013409709109023546
AKAZE,10,0.2988924247202393,0.034550570502632286
AKAZE,25,0.2726603786206435,0.04956659205211829
AKAZE,50,0.2559048751101731,0.02118421759697414
AKAZE,100,0.2860719118997264,0.025285822097979426
