n_estimators,max_depth,mean_error,std_error
50,5,0.19959179892954726,0.00635464461607564
50,10,0.21289233209763012,0.02469337986820389
50,20,0.19964729898504732,0.016871405163633883
50,None,0.19950579222102396,0.015302355825645137
100,5,0.203693289786005,0.025160724292431273
100,10,0.19537379471154304,0.022214380554132086
100,20,0.1822147683074835,0.01822577380904247
100,None,0.19517678789201964,0.009351851267708218
200,5,0.19534328805851983,0.038571406032840504
200,10,0.19110029043803878,0.027845366754897422
200,20,0.19067577014596881,0.025271952809432997
200,None,0.20833581429607917,0.011896627598229213
500,5,0.21275082533360679,0.014565970965851851
500,10,0.19073127020146888,0.03156526182164451
500,20,0.19087277696549218,0.030413819947509954
500,None,0.19053426338194548,0.03234330152216124
